IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.149.28,2095,2095,false,HKG,Asia Pacific,Hong Kong,1,7.97
8.218.181.189,2086,2086,false,HKG,Asia Pacific,Hong Kong,2,7.86
47.243.5.154,2087,2087,true,HKG,Asia Pacific,Hong Kong,0,6.11
8.217.239.116,2095,2095,false,HKG,Asia Pacific,Hong Kong,1,3.79
47.243.5.154,2053,2053,true,HKG,Asia Pacific,Hong Kong,0,2.96
8.217.239.116,2086,2086,false,HKG,Asia Pacific,Hong Kong,1,2.65
8.217.239.116,8880,8880,false,HKG,Asia Pacific,Hong Kong,0,2.64
8.217.239.116,80,80,false,HKG,Asia Pacific,Hong Kong,1,2.27
47.243.5.154,2096,2096,true,HKG,Asia Pacific,Hong Kong,1,2.18
8.217.239.116,8080,8080,false,HKG,Asia Pacific,Hong Kong,0,1.89
156.251.144.162,41683,443,true,HKG,Asia Pacific,Hong Kong,0,0.90
202.81.231.150,443,443,true,HKG,Asia Pacific,Hong Kong,2,0.70
202.81.232.199,44036,443,true,HKG,Asia Pacific,Hong Kong,0,0.67
172.93.188.157,443,443,true,SIN,Asia Pacific,Singapore,1,0.39
8.210.107.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,0,0.27
45.207.11.69,8899,443,true,HKG,Asia Pacific,Hong Kong,0,0.10
39.126.44.106,37635,80,false,HKG,Asia Pacific,Hong Kong,1,0.10
8.210.107.246,80,80,false,HKG,Asia Pacific,Hong Kong,0,0.04
47.76.32.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,1,0.02
47.76.32.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,0,0.01
8.210.107.246,2095,2095,false,HKG,Asia Pacific,Hong Kong,1,0.01
47.76.146.1,2053,2053,true,HKG,Asia Pacific,Hong Kong,1,0.01
38.181.35.164,12772,443,true,HKG,Asia Pacific,Hong Kong,1,0.01
8.210.107.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,0,0.00
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,0,0.00
