IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
209.58.132.110,443,443,true,SJC,North America,San Jose,9,69.22
154.17.226.170,443,443,true,LAX,North America,Los Angeles,9,61.52
52.52.116.32,443,443,true,SJC,North America,San Jose,8,50.95
152.70.155.147,443,443,true,LAX,North America,Los Angeles,24,44.75
192.237.192.175,443,443,true,DFW,North America,Dallas,33,40.86
34.123.83.237,443,443,true,ORD,North America,Chicago,53,36.17
129.146.46.164,443,443,true,LAX,North America,Los Angeles,22,35.96
35.226.211.129,443,443,true,ORD,North America,Chicago,51,35.09
213.255.209.189,443,443,true,YYZ,North America,Toronto,52,34.97
75.2.32.4,443,443,true,IAD,North America,Ashburn,0,34.58
45.32.228.75,443,443,true,SEA,North America,Seattle,28,34.48
155.248.196.218,443,443,true,SJC,North America,San Jose,7,33.75
88.119.175.79,443,443,true,ORD,North America,Chicago,51,33.13
173.249.207.151,443,443,true,SJC,North America,San Jose,7,31.46
107.174.243.110,443,443,true,SEA,North America,Seattle,29,30.93
199.180.255.223,443,443,true,DFW,North America,Dallas,35,23.36
107.175.2.53,443,443,true,BUF,North America,Buffalo,66,22.18
98.47.195.247,443,443,true,SJC,North America,San Jose,25,18.72
172.207.125.150,443,443,true,NRT,Asia Pacific,Tokyo,106,14.75
141.147.47.137,443,443,true,FRA,Europe,Frankfurt,156,14.08
107.182.129.83,443,443,true,AMS,Europe,Amsterdam,132,13.93
107.182.130.16,443,443,true,AMS,Europe,Amsterdam,133,13.83
195.58.50.78,443,443,true,AMS,Europe,Amsterdam,131,13.78
59.3.3.161,443,443,true,ICN,Asia Pacific,Seoul,134,13.75
107.182.129.236,443,443,true,AMS,Europe,Amsterdam,130,13.69
92.118.169.96,443,443,true,AMS,Europe,Amsterdam,132,13.69
206.189.102.194,443,443,true,AMS,Europe,Amsterdam,176,13.65
20.108.51.255,443,443,true,LHR,Europe,London,128,13.53
107.182.130.77,443,443,true,AMS,Europe,Amsterdam,132,13.48
103.170.72.207,443,443,true,LAX,North America,Los Angeles,2,13.45
150.230.115.64,443,443,true,FRA,Europe,Frankfurt,156,13.42
161.35.72.197,443,443,true,FRA,Europe,Frankfurt,163,13.35
104.156.149.24,443,443,true,AMS,Europe,Amsterdam,132,13.34
195.58.50.96,443,443,true,AMS,Europe,Amsterdam,132,13.28
209.182.100.154,443,443,true,AMS,Europe,Amsterdam,133,13.23
34.159.158.159,443,443,true,FRA,Europe,Frankfurt,173,12.86
163.172.188.154,443,443,true,AMS,Europe,Amsterdam,132,12.85
46.165.198.147,443,443,true,FRA,Europe,Frankfurt,167,12.73
144.21.39.30,443,443,true,FRA,Europe,Frankfurt,138,12.66
192.236.249.105,443,443,true,AMS,Europe,Amsterdam,170,12.65
192.236.249.92,443,443,true,AMS,Europe,Amsterdam,171,12.63
34.34.186.205,443,443,true,CDG,Europe,Paris,170,12.62
34.154.189.30,443,443,true,FRA,Europe,Frankfurt,178,12.54
132.145.255.54,443,443,true,FRA,Europe,Frankfurt,138,12.49
77.238.229.2,443,443,true,AMS,Europe,Amsterdam,169,12.34
163.5.207.124,443,443,true,AMS,Europe,Amsterdam,169,12.33
54.193.12.8,443,443,true,SJC,North America,San Jose,8,12.30
34.107.14.208,443,443,true,FRA,Europe,Frankfurt,169,12.29
34.154.129.230,443,443,true,FRA,Europe,Frankfurt,165,12.19
141.147.92.30,443,443,true,FRA,Europe,Frankfurt,149,12.06
109.234.34.136,443,443,true,AMS,Europe,Amsterdam,170,12.06
